,Año,Trimestre,Provincia,Accesos por cada 100 hab,Year_Quarter
0,2022,3,Buenos Aires,26,2022-07-01
1,2022,3,Capital Federal,50,2022-07-01
2,2022,3,Catamarca,17,2022-07-01
3,2022,3,Chaco,12,2022-07-01
4,2022,3,Chubut,26,2022-07-01
5,2022,3,Córdoba,27,2022-07-01
6,2022,3,Corrientes,13,2022-07-01
7,2022,3,Entre Ríos,19,2022-07-01
8,2022,3,Formosa,11,2022-07-01
9,2022,3,Jujuy,15,2022-07-01
10,2022,3,La Pampa,32,2022-07-01
11,2022,3,La Rioja,21,2022-07-01
12,2022,3,Mendoza,14,2022-07-01
13,2022,3,Misiones,14,2022-07-01
14,2022,3,Neuquén,24,2022-07-01
15,2022,3,Río Negro,21,2022-07-01
16,2022,3,Salta,14,2022-07-01
17,2022,3,San Juan,13,2022-07-01
18,2022,3,San Luis,23,2022-07-01
19,2022,3,Santa Cruz,13,2022-07-01
20,2022,3,Santa Fe,25,2022-07-01
21,2022,3,Santiago Del Estero,12,2022-07-01
22,2022,3,Tierra Del Fuego,30,2022-07-01
23,2022,3,Tucumán,15,2022-07-01
24,2022,2,Buenos Aires,26,2022-04-01
25,2022,2,Capital Federal,50,2022-04-01
26,2022,2,Catamarca,16,2022-04-01
27,2022,2,Chaco,12,2022-04-01
28,2022,2,Chubut,26,2022-04-01
29,2022,2,Córdoba,27,2022-04-01
30,2022,2,Corrientes,13,2022-04-01
31,2022,2,Entre Ríos,19,2022-04-01
32,2022,2,Formosa,11,2022-04-01
33,2022,2,Jujuy,15,2022-04-01
34,2022,2,La Pampa,31,2022-04-01
35,2022,2,La Rioja,21,2022-04-01
36,2022,2,Mendoza,14,2022-04-01
37,2022,2,Misiones,14,2022-04-01
38,2022,2,Neuquén,24,2022-04-01
39,2022,2,Río Negro,21,2022-04-01
40,2022,2,Salta,14,2022-04-01
41,2022,2,San Juan,13,2022-04-01
42,2022,2,San Luis,23,2022-04-01
43,2022,2,Santa Cruz,13,2022-04-01
44,2022,2,Santa Fe,24,2022-04-01
45,2022,2,Santiago Del Estero,12,2022-04-01
46,2022,2,Tierra Del Fuego,30,2022-04-01
47,2022,2,Tucumán,15,2022-04-01
48,2022,1,Buenos Aires,26,2022-01-01
49,2022,1,Capital Federal,46,2022-01-01
50,2022,1,Catamarca,15,2022-01-01
51,2022,1,Chaco,12,2022-01-01
52,2022,1,Chubut,27,2022-01-01
53,2022,1,Córdoba,26,2022-01-01
54,2022,1,Corrientes,13,2022-01-01
55,2022,1,Entre Ríos,19,2022-01-01
56,2022,1,Formosa,9,2022-01-01
57,2022,1,Jujuy,15,2022-01-01
58,2022,1,La Pampa,30,2022-01-01
59,2022,1,La Rioja,21,2022-01-01
60,2022,1,Mendoza,14,2022-01-01
61,2022,1,Misiones,13,2022-01-01
62,2022,1,Neuquén,22,2022-01-01
63,2022,1,Río Negro,21,2022-01-01
64,2022,1,Salta,14,2022-01-01
65,2022,1,San Juan,11,2022-01-01
66,2022,1,San Luis,23,2022-01-01
67,2022,1,Santa Cruz,13,2022-01-01
68,2022,1,Santa Fe,24,2022-01-01
69,2022,1,Santiago Del Estero,12,2022-01-01
70,2022,1,Tierra Del Fuego,29,2022-01-01
71,2022,1,Tucumán,14,2022-01-01
72,2021,4,Buenos Aires,25,2021-10-01
73,2021,4,Capital Federal,46,2021-10-01
74,2021,4,Catamarca,14,2021-10-01
75,2021,4,Chaco,12,2021-10-01
76,2021,4,Chubut,25,2021-10-01
77,2021,4,Córdoba,26,2021-10-01
