,Año,Trimestre,Banda ancha fija,Dial up,Total,Año_Trimestre
0,2022,3,11.078.691,12.437,11.091.128,2022-07-01
1,2022,2,10.946.248,12.436,10.958.684,2022-04-01
2,2022,1,10.611.390,12.619,10.624.009,2022-01-01
3,2021,4,10.476.933,12.861,10.489.794,2021-10-01
4,2021,3,10.075.184,10.357,10.085.541,2021-07-01
5,2021,2,9.852.702,10.382,9.863.084,2021-04-01
6,2021,1,9.637.956,10.016,9.647.972,2021-01-01
7,2020,4,9.561.546,10.016,9.571.562,2020-10-01
8,2020,3,9.346.183,10.016,9.356.199,2020-07-01
9,2020,2,9.021.040,10.016,9.031.056,2020-04-01
10,2020,1,8.802.435,9.991,8.812.426,2020-01-01
11,2019,4,8.783.053,10.128,8.793.181,2019-10-01
12,2019,3,9.142.891,21.793,9.164.684,2019-07-01
13,2019,2,8.938.427,21.754,8.960.181,2019-04-01
14,2019,1,8.626.323,21.812,8.648.135,2019-01-01
15,2018,4,8.451.841,21.814,8.473.655,2018-10-01
16,2018,3,8.320.223,26.812,8.347.035,2018-07-01
17,2018,2,8.083.533,26.911,8.110.444,2018-04-01
18,2018,1,8.009.981,27.072,8.037.053,2018-01-01
19,2017,4,7.842.778,27.444,7.870.222,2017-10-01
20,2017,3,7.696.594,28.349,7.724.943,2017-07-01
21,2017,2,7.401.134,28.53,7.429.664,2017-04-01
22,2017,1,7.277.314,28.54,7.305.854,2017-01-01
23,2016,4,7.223.128,28.545,7.251.673,2016-10-01
24,2016,3,7.178.340,28.61,7.206.950,2016-07-01
25,2016,2,7.097.604,32.475,7.130.079,2016-04-01
26,2016,1,6.874.704,32.652,6.907.356,2016-01-01
27,2015,4,6.952.289,32.542,6.984.831,2015-10-01
28,2015,3,6.902.267,32.801,6.935.068,2015-07-01
29,2015,2,6.783.279,32.909,6.816.188,2015-04-01
30,2015,1,6.699.714,38.018,6.737.732,2015-01-01
31,2014,4,6.559.172,39.324,6.598.496,2014-10-01
32,2014,3,6.559.264,36.007,6.595.271,2014-07-01
33,2014,2,6.428.329,36.139,6.464.468,2014-04-01
34,2014,1,6.362.108,36.29,6.398.398,2014-01-01
