,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
0,2022,3,Buenos Aires,4.715.469,6.199,4.721.668
1,2022,3,Capital Federal,1.545.534,2.145,1.547.679
2,2022,3,Catamarca,70.292,1,70.293
3,2022,3,Chaco,144.141,5,144.146
4,2022,3,Chubut,164.874,904,165.778
5,2022,3,Córdoba,1.038.600,68,1.038.668
6,2022,3,Corrientes,144.842,4,144.846
7,2022,3,Entre Ríos,268.937,22,268.959
8,2022,3,Formosa,68.537,1,68.538
9,2022,3,Jujuy,118.823,- 0,118.823
10,2022,3,La Pampa,115.921,171,116.092
11,2022,3,La Rioja,86.860,4,86.864
12,2022,3,Mendoza,288.746,777,289.523
13,2022,3,Misiones,182.157,- 0,182.157
14,2022,3,Neuquén,162.693,468,163.161
15,2022,3,Río Negro,160.010,548,160.558
16,2022,3,Salta,204.536,5,204.541
17,2022,3,San Juan,103.118,281,103.399
18,2022,3,San Luis,121.888,182,122.070
19,2022,3,Santa Cruz,49.312,198,49.510
20,2022,3,Santa Fe,887.700,110,887.810
21,2022,3,Santiago Del Estero,119.030,2,119.032
22,2022,3,Tierra Del Fuego,53.584,312,53.896
23,2022,3,Tucumán,263.087,30,263.117
24,2022,2,Buenos Aires,4.660.984,6.199,4.667.183
25,2022,2,Capital Federal,1.534.626,2.145,1.536.771
26,2022,2,Catamarca,67.007,1,67.008
27,2022,2,Chaco,143.559,5,143.564
28,2022,2,Chubut,161.901,904,162.805
29,2022,2,Córdoba,1.026.367,68,1.026.435
30,2022,2,Corrientes,144.993,4,144.997
31,2022,2,Entre Ríos,269.330,22,269.352
32,2022,2,Formosa,67.881,- 0,67.881
33,2022,2,Jujuy,115.314,- 0,115.314
34,2022,2,La Pampa,111.356,171,111.527
35,2022,2,La Rioja,86.026,4,86.030
36,2022,2,Mendoza,278.785,777,279.562
37,2022,2,Misiones,178.813,- 0,178.813
38,2022,2,Neuquén,161.500,468,161.968
39,2022,2,Río Negro,159.216,548,159.764
40,2022,2,Salta,203.172,5,203.177
41,2022,2,San Juan,100.126,281,100.407
42,2022,2,San Luis,121.559,182,121.741
43,2022,2,Santa Cruz,48.987,198,49.185
44,2022,2,Santa Fe,878.749,110,878.859
45,2022,2,Santiago Del Estero,118.042,2,118.044
46,2022,2,Tierra Del Fuego,53.458,312,53.770
47,2022,2,Tucumán,254.497,30,254.527
48,2022,1,Buenos Aires,4.549.131,6.293,4.555.424
49,2022,1,Capital Federal,1.415.378,2.163,1.417.541
50,2022,1,Catamarca,62.377,1,62.378
51,2022,1,Chaco,144.114,5,144.119
52,2022,1,Chubut,170.701,927,171.628
53,2022,1,Córdoba,1.003.729,74,1.003.803
54,2022,1,Corrientes,142.574,4,142.578
55,2022,1,Entre Ríos,267.904,22,267.926
56,2022,1,Formosa,54.548,0,54.548
57,2022,1,Jujuy,116.509,0,116.509
58,2022,1,La Pampa,109.560,172,109.732
59,2022,1,La Rioja,84.299,4,84.303
60,2022,1,Mendoza,274.399,786,275.185
61,2022,1,Misiones,171.508,0,171.508
62,2022,1,Neuquén,149.208,471,149.679
63,2022,1,Río Negro,156.821,553,157.374
64,2022,1,Salta,197.510,5,197.515
65,2022,1,San Juan,87.888,290,88.178
66,2022,1,San Luis,119.659,185,119.844
67,2022,1,Santa Cruz,48.898,204,49.102
68,2022,1,Santa Fe,870.364,115,870.479
69,2022,1,Santiago Del Estero,116.459,2,116.461
70,2022,1,Tierra Del Fuego,52.298,313,52.611
71,2022,1,Tucumán,245.554,30,245.584
72,2021,4,Buenos Aires,4.502.772,6.385,4.509.157
73,2021,4,Capital Federal,1.409.935,2.184,1.412.119
74,2021,4,Catamarca,59.089,1,59.090
75,2021,4,Chaco,143.740,5,143.745
76,2021,4,Chubut,159.364,944,160.308
77,2021,4,Córdoba,986.693,77,986.770
78,2021,4,Corrientes,135.908,4,135.912
79,2021,4,Entre Ríos,265.024,22,265.046
80,2021,4,Formosa,53.663,- 0,53.663
81,2021,4,Jujuy,113.915,- 0,113.915
82,2021,4,La Pampa,106.834,173,107.007
83,2021,4,La Rioja,83.124,4,83.128
